STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2011 , Employed_2011 , Unemployed_2011 ,Unemployment_rate_2011,Crime_Count,Crime_rate
Alabama,Autauga,314.2845395,78.97060523,2.2378775980000003,2.467823935,75.66856382,"25,836","23,677","2,159",8.4,3671,6694.751432
Alabama,Baldwin,282.05001139999996,55.15409803,2.1628612069999997,1.2630039690000001,77.79993727,"85,045","77,418","7,627",9.0,10546,5758.373284
Alabama,Barbour,262.2848226,68.75348795,4.4752833889999994,2.0693006169999997,75.28452629,"9,849","8,712","1,137",11.5,1520,5509.442169
Alabama,Bibb,374.177455,81.54511779,1.607987536,2.5686697119999997,74.01952213,"8,933","7,996",937,10.5,575,5532.037714
Alabama,Blount,313.0220879,82.53512102,1.4116672030000001,1.8910567880000002,76.28528429,"25,123","22,939","2,184",8.7,2828,4909.892704999999
Alabama,Bullock,334.1607261000001,52.34709284,4.560319,2.998871697,73.83379239,"4,833","4,272",561,11.6,401,3656.4238170000003
Alabama,Butler,376.3980366,72.06386988,3.783926852,1.8544831640000001,73.59232320000002,"9,188","8,042","1,146",12.5,1702,8086.278981
Alabama,Calhoun,363.3765778,83.32280455,2.296729126,2.189918972,74.23818199,"51,268","45,963","5,305",10.3,11413,9579.245109
Alabama,Chambers,332.5750999,79.01090252,4.24378195,2.5783697930000002,74.07455728,"15,200","13,380","1,820",12.0,3268,9505.526469
Alabama,Cherokee,296.86278139999996,86.94099135,1.32615346,1.605971627,75.17176543,"11,476","10,364","1,112",9.7,2309,8842.00046
Alabama,Chilton,353.1064029,85.54897863,1.4156945369999998,2.311533006,74.39746937,"19,539","17,753","1,786",9.1,3478,7931.042345999999
Alabama,Choctaw,351.41563019999984,58.01522082,2.732553541,1.63901181,75.32011463,"4,764","4,138",626,13.1,230,1651.5869599999999
Alabama,Clarke,317.3808088,68.66409191,2.513841584,1.612069021,75.32904762,"8,843","7,181","1,662",18.8,1123,4326.385946
Alabama,Clay,388.7271941,75.29454756,1.535791766,1.997217826,74.93992062,"5,598","4,935",663,11.8,356,2543.038788
Alabama,Cleburne,352.26241630000015,86.3231194,1.275764689,2.266711544,74.56259461,"5,939","5,365",574,9.7,326,8341.862845
Alabama,Coffee,303.3019021,77.79741863,2.046316081,1.5518317609999999,76.57242434,"20,749","19,059","1,690",8.1,3382,6738.662629
Alabama,Colbert,296.6978153,77.02966048,1.5607869159999999,2.027790165,75.31518635,"24,386","21,905","2,481",10.2,3884,7101.846773
Alabama,Conecuh,341.4684623,72.65811736,4.392076155,1.6510429519999998,74.0061223,"4,785","4,057",728,15.2,981,7720.761845
Alabama,Coosa,296.102842,74.87055751,2.031093905,2.649298222,75.12144482,"4,477","3,918",559,12.5,560,5812.746523
Alabama,Covington,309.9340518,71.47004813,2.281348467,1.086777739,75.43503638,"16,367","14,764","1,603",9.8,2148,5660.526524
Alabama,Crenshaw,312.7031458,101.3947968,3.27143237,1.870066705,74.35205198,"6,432","5,798",634,9.9,691,5012.694958
Alabama,Cullman,356.7285495,85.78165582,1.3121747240000001,1.84958272,75.33762340000001,"35,669","32,279","3,390",9.5,4579,5667.57021
Alabama,Dale,294.71094589999996,83.11530409,2.315143251,1.499349048,76.30187699,"22,017","20,188","1,829",8.3,3392,6717.762858
Alabama,Dallas,408.4436479,64.88011461,5.509636436,2.884432108,72.42022324,"17,514","14,866","2,648",15.1,6971,15832.02744
Alabama,Elmore,275.3734706,84.70042384,2.365708966,2.415877248,76.20645815,"36,597","33,521","3,076",8.4,4116,5165.33852
Alabama,Escambia,343.6347258,65.90476219,3.3217034080000003,1.725023096,74.20047595,"14,978","13,355","1,623",10.8,2873,7461.756227
Alabama,Etowah,357.2550193,93.90401724,1.89494181,1.888812835,73.84189864,"44,722","40,238","4,484",10.0,10294,9810.069281999999
Alabama,Fayette,328.9441041,82.80391937,1.6810154240000001,1.5766245490000002,74.11051273,"6,632","5,896",736,11.1,553,3192.10344
Alabama,Franklin,379.0528682,98.46283889,1.4712901809999999,2.138344765,73.43459353,"14,362","12,986","1,376",9.6,1754,5556.259503
Alabama,Geneva,326.4991582,75.96098891,1.9805232730000002,1.09706915,75.58657742,"11,486","10,429","1,057",9.2,1429,5308.518147
Alabama,Greene,295.41648119999996,55.06364331,4.173631171,2.298264625,74.01821261,"3,226","2,668",558,17.3,685,8118.9996439999995
Alabama,Hale,365.6797524,59.49196169,2.767112369,2.30571313,73.89571325,"6,296","5,426",870,13.8,132,3125.739995
Alabama,Henry,309.4392298,70.56440861,3.663454525,1.321288328,75.78976125,"7,270","6,563",707,9.7,611,3514.524015
Alabama,Houston,296.6490864,66.29712502,3.57882518,1.351920424,76.81466967,"46,778","42,747","4,031",8.6,7971,7811.948724
Alabama,Jackson,352.22876510000015,88.76344769,1.195084544,2.1621620569999997,74.22110918,"24,163","21,682","2,481",10.3,2817,5342.005955
Alabama,Jefferson,297.7324786000001,62.09108878,4.662789723,2.112580367,75.14456531,"319,652","289,916","29,736",9.3,79282,12034.12213
Alabama,Lamar,324.194126,82.84132282,1.621578024,1.492361555,74.98227866,"5,826","5,260",566,9.7,227,1551.182178
Alabama,Lauderdale,265.3078498,72.84719124,1.3904699219999999,1.305000699,76.49666981,"44,048","40,026","4,022",9.1,4161,4466.748967
Alabama,Lawrence,353.2860211,88.02571118,1.278218628,2.1167511340000003,74.38731395,"14,788","13,177","1,611",10.9,1453,4211.105959
Alabama,Lee,277.72557789999996,67.51566716,2.780159191,1.468551529,77.21452242,"68,316","62,812","5,504",8.1,9774,6935.751692
Alabama,Limestone,305.9037365000001,64.55133166,2.71379779,1.720177892,77.04310429,"38,990","35,631","3,359",8.6,2482,2983.8903579999997
Alabama,Lowndes,392.2322524,54.88531023,6.173781257999999,3.5843716010000004,72.65623882,"4,239","3,489",750,17.7,942,8297.366334999999
Alabama,Macon,374.0524943,43.9431316,5.9588151929999995,2.761828074,72.97203780000002,"8,512","7,317","1,195",14.0,1523,7065.646022
Alabama,Madison,233.99661009999997,60.95316726,2.012242418,2.136716409,78.04909439,"171,726","157,512","14,214",8.3,28175,8374.898193
Alabama,Marengo,363.89262,61.86958664,2.257714764,2.0954878580000003,74.66888983,"7,875","6,884",991,12.6,1413,6729.53279
